age,status,sex,orientation,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,last_online,location,offspring,pets 1,pets 2,religion,sign,smokes,speaks,essay0,essay1,essay2,essay3,essay4,essay5,essay6,essay7,essay8,essay9
20,single,m,straight,fit,strictly other,not at all,,dropped out of college/university,asian,71.0,50000,science / tech / engineering,2012-06-19-10-22,"san francisco, california",,,,atheism - casual,aquarius and it matters a lot,no,"english (poorly), chinese (okay), c++ (okay), swahili (poorly)","have you ever rested at the edge of a cliff on the brink of sunrise and stared as the darkness slowly recedes?  neither have i. i'd imagine...the world's so quiet and the light is a little overwhelming. as we slowly adjust, awe of the enormity sweeps over us. this vast expanse is our little pale blue dot.  why am i here? connection. what i live for is freedom and people to share it with. i have the first. and perhaps with you, i'd like to explore the second.  so enough about me, more about you. send me a message, tell me something. if you'd like, you can help me in my ongoing scientifically rigorous survey by answering the following three questions: 1. favorite restaurant? 2. what's the one thing you've always wanted to do? 3. free space","broadening the scope of human potential. too vague? dropped out of harvard after a semester, traveled to all seven continents, moved out to sf to build.  fact #2: i look out and see city hall from my window","doing outrageous things. seriously, tempt me with any adventure and if i'm not already occupied i'll accept.  fact #6: i asked myself after my first rave if i really liked people, and the answer was yes! i also asked myself if i should get a girlfriend and the answer was yes. thanks self, good to know.","my voice is pretty deep. i also fail to utilize this thing called pitch. working on it!  fact #3: i also have terrible enunciation. it's like handwriting for doctors, though i'm not really sure what the analogy is there.","is it blatant i copied this from facebook?  the roadthe sirens of titancatcher in the ryethe sun also risesthe old man and the seadon quixotesophie's worldcandidecrime and punishmentles miserablesgeorge orwellbrave new worldflowers for algernonfahrenheit 451of mice and menthe count of monte cristothe picture of dorian greydavid copperfieldthe things they carriededgar allen poethe adventures of sherlock holmesneuromancerhamletjulius caesarromeo and julietthe giveradventures of huckleberry finnadventures of tom sawyerthe giving treewhere the wild things arethe true story of the three little pigsthe tale of peter rabbitcurious georgea wrinkle in timewalk two moonswhere the red fern growsstargirlthe martian chroniclesmy side of the mountainlord of the fliesthe mists of avalonchronicles of narniaforgotten realmsthe great train robberythe terminal mansphererising suntimelinepreythe andromeda straindragonlance legendsterry brooksgathering bluethe boxcar childrenencyclopedia brownredwall  the usual suspectsa clockwork orangeforrest gumpamerican psychoamerican beautythe silence of the lambsthe dark knightrequiem for a dreammementopsychoapocalypse nowofficial macheteto liveblade runnershawshank redemptioncharlie chaplinfarewell my concubinematthew broderick's day offlontaxi driverstar trekblue velvetcasablancapulp fiction12 angry mensaving private ryangran torinoamadeusbraveheartjawsthe green milegladiatorthe manchurian candidatebourne ultimatumdonnie darkothe sixth sensethe princess bridehome alonegood will huntingbatman: the dark knight  food? i don't do food.  fact #7: there was a brief period in time where...eh, nevermind.",people freedom progress efficiency hope the future,the future. ask me about it sometime.,"typical friday is an oxymoron. working, beach run, rave, meetup, reading...actually, mostly working. saturday's my day off.  fact #4: sleep is really, really important.","making a real connection is hard for me. i've always put people second, tangible goals first. i'm changing that now, but your help is probably going to be in high demand ;).  fact #5: i just met a guy today who hasn't exercised in 2 years and eats 4,500 calories and a stick of butter everyday and looks great. i'm going to stop exercising and eat two sticks of butter.","you're up for doing something interesting together. this could be exploring a random part of town, skydiving, climbing a radio tower, nude beaching, playing an obscure board game, learning a martial art, driving to another state to go caving/mountaineering, or merely sitting in an apartment and having a nice banter. suggest something cool and it will happen.  but do it quickly, i never stay in one place long. australia and chile, here i come!"
24,single,m,straight,used up,mostly anything,often,never,graduated from space camp,other,43.0,-1,hospitality / travel,2011-11-11-00-04,"el cerrito, california",doesn't want kids,dislikes dogs,likes cats,atheism - casual,aquarius and it matters a lot,no,"english (poorly), french (poorly)","i've recently moved to the bay and am slightly overwhelmed by the abundance of self-proclaimed artists. most people would describe me as really weird, random, nonsensical, insane, creepy and/or very creepy. generally i try not to waste my breath arguing for the contrary because very few actually know anything about me. and i have just been confirmed as an intj by three different sources... feels bad man.","just got done with school. can't say it was an experience i enjoyed. now looking for a very specific type of work, which is really far out of my field of education. also, reenacting waterworld.. posthumously.",paying attention during a conversation; keeping eye contact; speaking in riddles; playing on people's nerves; taking shit apart; disappearing before having to put shit back together; conspiracy theories; internet research; zombie survival plans; trolling christians; shooting the albatross; jury duty; over-analyzing; brick-tag; apocalyptic prophecies; climbing rope; paying attention during movies; keeping to myself; freediving; sprinting really fast; badminton;,"itchy feet and fading smiles. also, i stare.","if i knew how to read, i probably wouldn't. on the second thought, i don't really pick favorites, but i have enjoyed sci-fi and classic russian literature in the past.  i've watched a lot of stuff that no one has ever even heard of. does that make me a hipster? but to be more specific, i enjoy tedious films that require a very long attention span. among them are primer, mike leigh's naked, and tarkovsky's zerkalo. i recognize a difference between films and movies and try to stay away from the latter.  bear grylls' outdoors buffet is the best place to eat out. am omnivorous except for milk. milk products are awesome, just not milk.",1. air 2. water 3. food 4. rain 5. the interwebs 6. large bodies of water.,grammar and punctuation.,either reading at home or overwhelmed.,"i once stared back at the big brother until it made him uncomfortable. but that's not private anymore, now is it?",you think you can outweird me; you're good at sarcasm; don't mind pink floyd synced up with stuff;
43,single,f,straight,athletic,mostly anything,socially,sometimes,graduated from law school,"native american, white",65.0,40000,law / legal services,2012-06-28-14-06,"san francisco, california","doesn't have kids, and doesn't want any",dislikes dogs,likes cats,other,aquarius and it matters a lot,when drinking,english (fluently),...male-loving feminist and u2 fan!!,choosing to be unmarried and childfree. following u2 (76 shows 1984-2011). working in legal administration while using advanced degrees for international women's human rights activism (pro-male as well).,spotting typos (in movie credits)!,are my naturally blond hair and outgoing personality yet aloofness...and how young i look for my age.,"-feminist books -romantic-comedy movies -no tv shows but movie repeats! -any music especially u2 -somewhat picky with, but love minimal and elegant, food",1. u2 2. concerts/music in general 3. activism 4. spirituality 5. living in san francisco 6. ladybugs and other baby animals,engendering and how the socialization of women and men is at the root of all the world's problems.,at home decompressing from the week (as long as the local u2 tribute band isn't playing an irish pub).,i have an acrylic plate in my head from a childhood accident.,you're a male feminist.
24,single,f,gay,athletic,mostly anything,socially,,working on college/university,white,68.0,-1,military,2012-06-27-20-12,"san anselmo, california",,has dogs,has cats,catholicism - casual,aquarius and it matters a lot,yes,"english (fluently), sign language (okay), portuguese (poorly)","i want to live like i was dying, no regrets, no fear! i have a long standing history of not getting out of my own way in order to grow, but i am getting better at it. anything else you want to know you'll just have to ask me. i am much better at interaction with another person, a two sided conversation than i am at typing into a void in which i don't know who or what is looking. though on the other hand not having a deffinitive person to be speaking toward, it makes being candid much easier.","well from a job standpoint i am a solider. from a personal standpoint, i am doing a lot of work on me, and taking mental inventories, on that which should be changed in my life, and that which should be kept and held tight.  i'm also currently striving to appreciate the beauty of the perfection that any given moment holds","making people laugh(my friends say i should do stand up) being a good listener to friends, keeping my cool under pressure, learning from my mistakes and the mistakes of others around me... i give really good massages, i love physical contact between two people, i say you can't tell how true your connection to someone is until you feel incomplete when you are not touching them in some way","well since i know me, i don't notice things... so why don't you tell me.","books: way to many books to list but the dan brown series, twilight books and harry potter(haha closet dork), the lovely bones, and anything by robert ludlum, crank, catch 22, born on the fourth of july, military and firefighting history,  movies: some of my all time faves are ladder 49, world trade center, backdraft, jarhead, green zone, band of brothers, all the harry potters, 13 going on 30, any sandra bullock movie, the bourne series, most romantic comedies/chick flicks. i am down to watch a horror or suspense flick but only if i have someone to cling to because i am a whimp that way  music: country, rock, pop, rap, dubstep, anythng i can dance to or sing along with, and i can never go wrong with 90's music  food: mmmmm yes please, i love good food.puerto rican, italian, and sushi are top on my list right now... i love a good night at a restaraunt but am equally happy making some awesome firehouse comfort food and cracking a bottle of wine at home","i'm going to assume that food, water and air are given: family/friends(yes they are the same) music my dogs my truck my cell phone clothes","where my life is going, and how to avoid going back to the not so brilliant places that i've been. though i would not trade those bad times for anything they have helped to shape me into the person that i have become and i like where i am. my past does not dictate my future, merely helps to shape my present.","i don't have typical fridays, thankfully... that would be boring","why don't you ask me, maybe it's something really juicey and worth asking about... but you have to make the effort to find out. ;-)","you like what you've read and think i'm chill, you're an awesome person and think we might have fun together, or you want to take me out dancing, or want me to take you out dancing. basically if we are both awesome and you want to be awesome together"
57,available,m,straight,fit,mostly anything,socially,sometimes,graduated from college/university,white,76.0,-1,science / tech / engineering,2012-06-30-08-49,"oakland, california","has kids, but doesn't want more",likes dogs,dislikes cats,other,aquarius and it matters a lot,no,english (fluently),"i am balance of plugged and unplugged, more spiritual than material, a multi-level being zooming along this time-wave. living life without the background clutter of radio or tv. father of a son and daughter, both off to college now and leaping from the nest.","i am grateful for a life of learning: for my particular kraft work of techno-sociological interests that keep me employed, grateful for my health, and expanding my relationship to gravity and breath.",active listening and telling stories. spontaneous adventures. close examination and touch,"it depends upon their perceptive powers, i am tall, and sometimes sport a new short hairdo that makes me look like a narc or a federal agent.","tom waits, another roadside attraction, patty smith, vegetables, todd:awats, john the fab, terrance mckenna, pierre teilhard de chardin, ...  http://www.myspace.com/thecaliforniahoneydrops",silence and sounds music and dance touching materials and other souls hikes in the wood and walks by the water family and loved ones in my life creative juices,"the phenomenon of man, creativity, global sustainable energy systems, social revolution, and balance.",nothing is typical but it could be a music appreciation night...  the entire labor day weekend i went to strawberry music festival camping with a large group of friends and family: fans and late night musicians. i like to dance mostly freeform and loved dancing to the cahoneydrops i used to dance ballroom decades ago.. just starting to get going again.,sitcoms like sienfield annoy the hell out of me.,"you do not follow the pack (you might lead the pack), you like to walk and talk, you want to know more...  note: any institutions or individuals using this site or any of its associated sites for studies or projects-you do not have permission to use any of my profile or pictures in any form or forum both current and future."
18,single,f,bisexual,average,mostly vegetarian,rarely,never,graduated from two-year college,white,63.0,-1,other,2012-06-30-09-04,"belvedere tiburon, california","doesn't have kids, but wants them",has dogs,has cats,buddhism - casual,aquarius and it matters a lot,no,"english, french, german","my name is crickett paisley, a textbook aquarius. i'm something of an oddity, a hippy, a free-spirit, a lover of nature and all living things, and a creative soul. in my spare time you'll probably find me curled up in the oddest of places with a book or seven, making things, lurking the interwebs, going on great adventures, or causing shenanigans. at the end of the day, i really just want to be the warm, yellow light that shines over everyone.","i'm a nanny for my almost two year old godson, jack. he keeps me pretty busy. i'm not quite sure what i want to do in the future, but i'll either be working with kids, animals, or flowers.",i'm pretty good at blogging.,i'm really tiny with really big eyes.,"books! i like the alchemist, siddartha, world war z, the hunger games, harry potter, and several graphic novels/comic books.  as for movies, my favourites are v for vendetta, ink, hounddog, boys don't cry, tart, wristcutters: a love story, and basically any disney movie ever.  i don't watch a lot of tv besides hockey these days, but i'm a whovian and a big fan of the office.  i could go on all day about music, but if i had to pick a few, they would be the cure, fever ray, the knife, the last shadow puppets, arctic monkeys, oh land, and yann tiersen.  ramen is my favourite food, and also cheese.","music, disney, tumblr, nature, fresh air, and love.","i wonder if animals have favourite colours, why people are horrible to each other, why they're so shallow sometimes, what my dreams mean, etc etc etc.",,i'm really awkward and some people think i'm being a bitch because it takes me some time to warm up to most people.,"if you're brave enough. muahahaha.  faq: what's up? not much. how are you? fine. what do you like to do for fun? read, dance, sing, prance around like a fairy, go on adventures, write, game, etc. what's your name? crickett.  warning: due to recent events i feel i need to make this even more clear before you message me. i am shy. i am awkward. i need patience. i come out of my shell when i'm comfortable with someone, and that takes more than just a couple of messages. i'm sorry if that offends you or something, it's just the way i am. so before you say ""you don't talk much huh"" give me a little bit of time."
33,single,m,straight,rather not say,strictly vegan,not at all,often,,,70.0,20000,other,2011-07-13-15-13,"san francisco, california",,likes dogs,likes cats,other,aquarius and it matters a lot,trying to quit,english (okay),"i am a conscious man, deeply gratitude for the natural woman. i believe that the next step in our evolution rests is a restoration of our capacity for such deep respect, attention and love in human relationships that we become capable of seeing the divine in another.","i help run a vegan collective in the city and love it! i'm also planning an anti-capitalist, storytelling, music playing freeskool caravan with a friend which i'm really excited about.",turning oxygen into carbon dioxide. bring energy wherever i go.,the smell,"books: for mindless fun and entertainment i like to read vampire smut books. i'm also into sci-fi/fantasy and i just started to pick up robert jordan. the hobbit, lord of the rings, c.s. lewis stuff and the like are my favorites as well. harry potter, too.  for the spiritual side of me...right now i'm all about pema chodron and trungpa rinpoche. other books - the four agreements, the mastery of love, the voice of knowledge, the power of now, a new earth, the alchemist, the power of belief, the law of attraction, ask and it is given, nature and the human soul.  the last book that had the most impact on me: the places that scare you - by pema chodron  second: the ethical slut  i generally am in the middle of reading at least 4-5 books at one time. i'm always open to suggestions for good reading.  music: drum & bass, electro house, progressive house, soulful house, soul, pretty much anything a san francisco dj plays, r&b, rap, classical, international, motown classics, rock....basically everything except country.",kombucha nut cheese home grown produce my glases burning man patchouli love,"buirning man, its pretty much all i think about all year round...",dancing the night away to insane beats! breathing. staying present. living in the now. how truly thankful i am to be alive. how truly beautiful life is.,that i feel slightly uncomfortable with the amount of private data i've already put on this site.,im looking for dating connection with someone living somewhere nearby enough that i can simply ride my bike to visit
30,available,m,straight,athletic,mostly anything,socially,sometimes,graduated from college/university,hispanic / latin,66.0,-1,artistic / musical / writer,2012-06-29-18-35,"san francisco, california",,,dislikes cats,agnosticism - casual,aquarius and it matters a lot,no,english (fluently),"i'm am usually shy and quiet until i can feel comfortable with someone.  i'm currently in a relationship with a beautiful lady. if you would like to hang out with us both please let me know because we are very open to hanging with other kinky people. i can share pictures of her with you after we start communicating.  aside from that i am looking for folks with similar interests for friendship, activity partners. these may or may not include my partner depending on the dynamic. no drama here. we are both mature and drama free.","i am a working graphic designer here in san francisco. i enjoy art, classic cars, great food, music, traveling and work. i work a lot so i am always keeping busy. i am constantly inspired by architecture, fashion, art, and music. when i am not working i am trying to do as much cycling as possible and go on adventures in and around the city.",riding my bike fast and avoiding getting hit by cars.,"my eyes, tattoos, and my dark sense of humor.","movies: any stanley kubrick or martin scorsese film. i also like woody allen, the coen brothers, jem cohen, john waters, gaspar no, sam peckinpah and alejandro jodorowsky. i am more entertained by slow interesting movies, no explosions needed! i enjoy documentary films, definitely my favorite genre. favorite movie of all time, that's a tough one but i would have to say eyes wide shut.  books: my book collection consists of art and photography books, graphic design reference, some charles bukowski, and some poetry.  music all over the map. i am into everything from black metal to classical piano. i mostly listen to metal and talk radio. metal bands like neurosis, electric wizard, the melvins, mercyful fate, danzig, black sabbath, burzum, forgotten woods, behexen, boris, dissection, taake. radio programs like npr, thisamlife, the moth, paranormal podcasts. with that said i have been listening to little richard a lot as of late.",water meat road bike the sun music sex,how the universe is expanding. the meaning of life and a 2012 bmc racemachine rm01 sram red.,happy that i won't have to go back to work until monday.,this profile pretty much sums that up.,if you want to hang out and have a beer. ride bikes around the city or talk about life and make fun of it a little bit.
31,single,f,gay,thin,mostly vegetarian,rarely,,,white,71.0,-1,other,2012-06-27-08-29,"san francisco, california",,,has cats,other,aquarius and it matters a lot,no,english,"i am a kind, nurturing, self-sufficient, open-minded, open-hearted dyke. i am an educator, a learner, a healer, and a seeker.... i'm a progressive, radical thinking, gender bending, tomboy-andro-queer. i am at the same time absent minded and keenly perceptive, scrutinizingly cynical yet persistently optimistic. i am a healthy, well-balanced, strong, and confident individual. i love to laugh, smile, dance, hike, play, eat..... i aggressively rebel against being put into any style of box. and accordingly i try not to put others into any. live and let live! (within reason and with respect)  i like creating elaborate dinners, drinking tea on the porch with friends, smiling at strangers in hopes that it will be contagious, driving over mountains, taking good care of others and letting them take good care of me, concocting delicately balanced soups, pictures of fairies, scarves, neck ties, vegetables, frequent full-body hugs, conversations about gardening, and uninebriated dancing.  getting to know me is a grand adventure. it has been for me anyway.","professionally: i am a postpartum doula. which means-i help care for, support, and educate families who have just had babies. i also care for young children and infants and lend emotional support and guidance to their parents.  personally: i am working on building community with like minded people.  i just moved to san francisco at the end of march!! came out from colorado... very exciting....still finding my way around and settling into my new city.","making fantastic food.  i'm really good at using my body in pursuits like yoga, tai-chi and dancing wildly around my living room.  i'm reasonably good at passing for a boy while out running errands on the weekends! (i get off on being called ""sir"")  i have a talent for relating to and caring for very young children.","i'm tall, my hair is red, and i'm cleverly disguised as a responsible adult. i have a gentle, seemingly quiet presence.","books: historical fiction, fantasy, erotica... books on- child development, astrology, sexuality, gender identity, fascinating people, certain specific topics of spirituality and personal growth, the depth and complexities of life. i greatly enjoy well written books about vampires or arthurian age mysticism! authors: marion zimmer bradley, tom robbins, anne rice, mary stewart, jeanette winterson, inga muscio, pema chondron, alice walker, maria montessori, ina may gaskin, thich nhat hanh.........  movies: a list of absolute favorites: rent, velvet goldmine, cry baby (or anything by john waters), breakfast on pluto, high art, hedwig and the angry inch, the dark crystal, labyrinth, little shop of horrors, gattaca, hackers (young tomboy angelina jolie makes my heart melt), breakfast club, high fidelity, better then chocolate, but i'm a cheerleader, the incredibly true adventure of two girls in love, my normal, serenity. i'm sure i'll think of more!  music: recently i have again started listening to glam rock which i have loved for a long time. beside that i like; folk, reggae, ska, indie, punk, rock, indie-punk-rock, jazz, bluegrass, techno/electronic, r and b, classical, classic rock, dance music, cheesy 70's, 80's kinda stuff...........  food: ...is one of my greatest loves in life!!! i love to create it, i love to look at it and talk about it, and i absolutely adore eating it. often when i take a first bite of something especially delicious i feel such pleasure i will do a little wriggle dance in my chair and exclaim in delight!! :) but that doesn't quite speak to the topic of favorite food does it? i eat mostly vegetarian. i like simple, fresh, flavorful food. i love soups and stews. i like italian, japanese, korean, vietnamese, and indian food. i like fancy, complicated desserts, and chocolate, and fresh fruit... some thick, well seasoned veggie stew with crusty bread on a cold winter day! a sweet, juicy peach in the middle of summer! or squash blossoms, picked from my garden, battered and gently fried in olive oil, and eaten over pasta with tomato and kalamata olives! zucchini bread.... and apple, pumpkin or cherry pie in the fall. mmmmm! excuse me, i can't go on writing. i must go prepare something yummy!!!!","vegetables, my kitty, grains, amiable conversation, physical contact with those i love, chocolate, and children's laughter.",how fascinating humans are...the impact of societal paradigms...child and child rearing development...the energy body...how to quiet my mind...what other people think about me...,dancing or cooking or both.,"i am kinky and adventurous ...but don't participate much in the bdsm scene. i enjoy exploring power dynamic (d&s)...but am not much into s&m.  i am open to and experienced in poly relationships...but will not ever enter into one lightly. i will only go down that path with someone solid and healthy who knows how to communicate in a clear, concise, compassionate, and aware way; which is very different from incessant over-processing, or critical hurtful sharing ('brutal honesty')  i am equally (if not more) inclined to enter into a healthy monogamous relationship. (same communication rules apply)  so there you have it folks!...not really the most private secret i have...but a lot more useful info i think...","...if you want to go dancing with me ...if you fall somewhere on the androgynous, boi, genderqueer, ftm, or andro-femme parts of the spectrum ...if you are a gender queer person of any persuasion  ...if you are any type and think we would click in some capacity ...if you'd like to geek out on astrology with me ...if you have seen any number of the movies i list ...if you love to cook, eat, dance, smile, catch a show, play outside!... and especially if you can do all those things at once ('cause that i have to see) :-d  or if you know where the fun places to go out dancing in the mission are ....if you want to take me out on the town and show me around...  don't be shy and just look, send me a note. spectacular things could happen!! well, sure they could..."
32,single,m,straight,average,mostly vegetarian,socially,never,graduated from college/university,white,70.0,70000,construction / craftsmanship,2012-06-29-22-35,"oakland, california",doesn't have kids,likes dogs,,christianity - casual,aquarius and it matters a lot,no,"english, italian, spanish",i'm a vampire. very productive at night. most of my inspiration is after dark but i also love to get up early before everyone.,i love teaching the arcane and obvious. it's a natural for me to teach students. still looking for my angel investor....,anything hands on or lyrical. i have the meticulous nature of an engineer and the verve of a poet. bobby burns/andrew marvell. dead poets society has a special place in my heart. it's the star wars of the bourgeios intellectuals. kudos. yeah.,i've been called a smooth talker. it's true.,mild addition to npr. f.scott maugham dylan thom yorke biographies. travel. i love getting inside of the heads of the great ones...the people behind the machines and politics we take for granted.,leica camera call of the wild w. somerset maugham bernie ecclestone (you magnificent bastard) rachmaninoff no.3 peanut butter,how to eradicate poverty. i can do it. i just need an angel investor. :),"having a nice dinner and drinking wine with charles and ray eames, le corbusier, louis i. kahn, and some other friends.",i love women in heels. the most glamorous and impractical the better.,you are the 1%. occupy me.
25,single,m,straight,fit,other,socially,sometimes,graduated from college/university,white,73.0,-1,computer / hardware / software,2012-06-30-12-00,"san francisco, california",,likes dogs,likes cats,agnosticism - casual,aquarius and it matters a lot,sometimes,"english (fluently), spanish (okay), c++ (okay)","it might be a little too conventional to start with the ""where i'm from"" business, but whateva: i moved up to san francisco after living in san jose (aka purgatory/cultural wasteland) for almost 4 years. five days a week i commute down to silicon valley, where i design computers. life is short, weekends are precious. sometimes i have no clue how i manage to balance my life, but i largely credit the ubiquitous nike slogan ""just do it"" and mcdonald's chicken nuggets.  i grew up in marin county (mill valley, corte madera), but my upbringing wasn't characterized by extreme opulence. turns out my parents are pretty real.  i don't plan on ever getting a tattoo, but if i do it'll be one of otomo katsuhiro's illustrations (google his art book, kaba). fond memories of mine include, but are not limited to: being an exhibit explainer at the exploratorium one summer (the most righteous of summers, perhaps) and wearing a spiked bracelet to my bar mitzvah party, which was a deliberate, though vulgar act of adolescent goth-iness.  that being said, i believe there's always time for weird dating.","working for the man, finding inspiration through aggressive, confrontational art, exercising n junk, playing synth",hedonism and charm,where i messed up cutting my own hair,"books: the road, motherless brooklyn, akira, naked lunch. just finished reading journey to the end of the night. now reading a heartbreaking work of staggering genius.  movies: grizzly man, the holy mountain, wavetwisters, salo, akira, waiting for guffman, welcome to the dollhouse, 127 hours  tv shows: the wire, breaking bad, tim and eric. strictly netflix.  music: jay reatard, swans, the soft moon, com truise, current 93, husker du, electric wizard, nick cave, andre nickatina, tangerine dream, black flag, big black, wild nothing, throbbing gristle  food: shanghai style pan fried soup dumplings. don't act like you don't know.",fuck this question. next!,"opening a pickle shop, a road trip through the south, psychedelics, thinking","at a show, on my rooftop, giving beer to friends at my apartment.  where my head is: i live in the one of the best neighborhoods in the world and the novelty hasn't worn off yet.","we all had a massive beanie baby collection at some point, right?",you're wickedly smart and like to free associate
23,single,f,straight,full figured,strictly anything,often,sometimes,dropped out of college/university,black,66.0,-1,artistic / musical / writer,2012-01-05-21-09,"san francisco, california",,likes dogs,likes cats,other,aquarius and it matters a lot,sometimes,english (fluently),,,,,,,,,,
24,single,m,gay,a little extra,mostly anything,often,,working on college/university,black,72.0,-1,education / academia,2012-03-11-08-37,"berkeley, california","doesn't have kids, but wants them",,,christianity - casual,aquarius and it matters a lot,no,english,"hello there. just a outgoing, funny, loving male here. aquarius, and i love being one. am currently an americorps member. i working at an alternative high school in west oakland an in intern coordinator. i like what i do. i like being able to provide my students with chances to do something that they like to do. i have. degree in medical assisting and will soon be going back to school to get my sociology degree. i'm kinda bad at this, so if you have anything you want to ask me. go ahead",oh. i kinda answered this above lol. i'm an americorps member. i work at an alternative high school in west oakland,cooking. being myself. laughing. entertaining. caring about peoples feelings.,lol. my smile? lol. i'm not sure.,"i love twilight. the movies over the books. i love coming shows. i love reality shows. i love indian food. i'm trying to cut back though. sushi is in that list as well. and so is hot cheetios. i have lots of favorite movies, and shows. it would just be better for me to tell you then to list the all.",text messages internet family close friends my job my apartment,my family. my friends.,"out drinking, playing pool and having fun with my close friends.",when i'm in public i say i'm allergic to peanuts but i'm not. lmao,you like to have good conversations. you like to go for walks. you like late night movies. you wanna get to know me more. you wanna hang. your not overly quiet.
